,e1,relation,e2,date,predictions
3668,National Council for Peace and Order of Thailand,Use unconventional violence,Citizen (Thailand),2014-06-18,"['Citizen (Thailand)', 'Election Commission (India)', 'Thailand', 'Head of Government (Ukraine)', 'Constitutional Court (Slovakia)', 'National Council for Peace and Order of Thailand', 'Foreign Affairs (Italy)', 'Israeli Defense Forces', 'Food and Agriculture Organization', 'Abdul Aziz']"
3669,Military (Thailand),Use tactics of violent repression,Protester (Thailand),2014-05-23,"['Police (Ethiopia)', 'Secretariat (Nigeria)', 'Treasury/Finance Ministry (Thailand)', 'Ministry (Czech Republic)', 'Nigerian Navy', 'Tourist (Colombia)', 'Military Personnel (Libya)', 'Agence France-Presse', 'Military (North Korea)', 'Military (Thailand)']"
3670,Envoy (United States),Make a visit,Guinea,2014-10-30,"['Foreign Affairs (Russia)', 'Citizen (Brazil)', 'Foreign Affairs (Italy)', 'Military (Argentina)', 'Rights Activist (Indonesia)', 'The Hague', 'Abdel Fattah Al-Sisi', 'Massoud Barzani', 'Inter-Services Intelligence', 'National Iranian Tanker Company']"
3671,Benjamin Netanyahu,Consult,Tony Blair,2014-07-26,"['""Uganda People\'s Defence Force""', 'Refugee (Chad)', 'Poland', 'Foreign Affairs (Latvia)', 'Citizen (Tanzania)', 'Tony Blair', 'Barack Obama', 'Armed Rebel (Syria)', 'Gideon Gono', 'Royal Administration (Jordan)']"
3672,France,"Arrest, detain, or charge with legal action",Criminal (Somalia),2014-12-05,"['Political Parties (Yemen)', 'Isaias Afewerki', 'Citizen (Bulgaria)', 'Men (United States)', 'Takeshi Onaga', 'Lawyer/Attorney (Australia)', 'Population (Angola)', 'Uhuru', 'Sudan', 'Air Force (Iraq)']"
3673,Sergey Kuzhugetovich Shoygu,Engage in negotiation,Bratislav Gasic,2014-05-23,"['Bratislav Gasic', 'Member of the Judiciary (Nigeria)', 'Xi Jinping', 'Abhisit Vejjajiva', 'Member of the Judiciary (United States)', 'Media Personnel (Pakistan)', 'Legislature (Iraq)', 'Nikos Christodoulides', 'Kim Jong-Un', 'Men (United States)']"
3674,Police (Uganda),Make an appeal or request,Citizen (Uganda),2014-12-19,"['Citizen (Uganda)', 'Al-Shabaab', 'Military (El Salvador)', 'Democratic Party (Nigeria)', 'Muhammadu Buhari', 'Nuri al-Maliki', 'Media (Kenya)', 'Doctors Without Borders', 'Lawyer/Attorney (Philippines)', 'Yogendra Yadav']"
3675,Militant (Kurdistan Workers' Party),"Abduct, hijack, or take hostage",Villager (Turkey),2014-07-04,"['Serbia', 'Business (Uruguay)', 'Akja Nuberdiyeva', 'Chief Court Judge (Angola)', 'Raheel Sharif', 'Milos Zeman', 'Police (Belgium)', 'Abdullah Gül', 'Treasury/Finance Ministry (Saudi Arabia)', 'Ombudsman (Georgia)']"
3676,Philippines,"Arrest, detain, or charge with legal action",Criminal (Philippines),2014-11-13,"['Criminal (Philippines)', 'Alexander Lukashevich', 'Angola', 'Vietnam', 'Marziyeh Afkham', 'Jeff Seeney', 'Men (Tajikistan)', 'Philippines', 'Oommen Chandy', 'Ma Ying Jeou']"
3677,John Kerry,Make statement,Middle East,2014-11-01,"['John Kerry', 'National Council for Peace and Order of Thailand', 'Middle East', 'Media (India)', 'European Central Bank', 'Josh Earnest', 'France', 'Government (Sudan)', '""Uganda People\'s Defence Force""', 'Businessperson (Australia)']"
3678,Philippines,Host a visit,Julie Bishop,2014-02-20,"['People Associated with the Opposition (Bahrain)', 'Agence France-Presse', 'Lawmaker (Argentina)', 'Citizen (Brazil)', 'Inter-Services Intelligence', 'Foreign Affairs (Liberia)', 'Ministry (Belgium)', 'Head of Government (Greece)', 'Fumio Kishida', 'Head of Government (Palestinian Territory', 'Occupied)']"
3679,Iran,Host a visit,Military (China),2014-09-22,"['""Citizen (Cote d\'Ivoire)""', 'Kim Jong-Un', 'Government (Syria)', 'Viktor Orban', 'Khalid bin Ali Al Khalifa', 'Iran', 'Ion Iliescu', 'Citizen (Bangladesh)', 'Political Parties (Haiti)', 'Gary Quinlan']"
3680,Police (Australia),Sexually assault,Women (Australia),2014-08-28,"['Women (Australia)', 'Sudan', 'Sergey Kuzhugetovich Shoygu', 'Men (United Kingdom)', 'Tanzania', 'Citizen (Namibia)', 'Legislature (Italy)', 'Inter-Services Intelligence', 'Citizen (Germany)', 'Ma Ying Jeou']"
3681,Canada,Host a visit,Tahirul Qadri,2014-11-13,"['Detainee (Lebanon)', 'Rana Sanaullah', 'Abdullah Gül', 'Moro Islamic Liberation Front', 'Canada', 'Police (Jordan)', 'Business (Russia)', 'North Atlantic Treaty Organization', 'Ministry (Nigeria)', 'Development Council (Nigeria)']"
3682,Barack Obama,Make a visit,Japan,2014-04-09,"['Japan', 'Barack Obama', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'South Korea', 'Iran']"
3683,Vietnam,Host a visit,Civil Aviation Authority,2014-11-20,"['Macky Sall', 'Environment Department/Ministry (United States)', 'Radovan Krejcir', 'People Associated with the Opposition (Bahrain)', 'Indigenous People (Nigeria)', 'Cleric (Iraq)', 'Militant (Ukraine)', 'Defense / Security Ministry (Italy)', '""Revolutionary People\'s Liberation Party–Front""', 'Head of Government (Poland)']"
3684,Bathabile Dlamini,Praise or endorse,Member of the Judiciary (South Africa),2014-05-02,"['National Anti-Corruption Commission (Thailand)', 'Military Personnel (Canada)', 'Bala Abdulkadir Mohammed', 'Government (Pakistan)', 'Member of the Judiciary (South Africa)', 'Chris Murphy', 'Government (United States)', 'Ibrahim Hassan Dankwambo', 'Association of Southeast Asian Nations', 'Thief (Turkey)']"
3685,South Africa,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-11-14,"['Japan', 'Hemant Soren', 'Hamas', 'Kim Jong-Un', 'Togo', 'Rauf Aregbesola', 'Foreign Affairs (United States)', 'Rights Activist (Belarus)', 'Kazakhstan', 'Businessperson (Italy)']"
3686,Julie Bishop,Express intent to meet or negotiate,North Atlantic Treaty Organization,2014-09-01,"['UN Security Council', 'Rashtriya Swayamsevak Sangh', 'Kuwait', 'Police (Israel)', 'Ireland', 'Main Opposition (Turkey)', 'Sergey Kuzhugetovich Shoygu', 'Citizen (International)', 'Military (Mozambique)', 'Hun Sen']"
3687,John Kerry,Express intent to meet or negotiate,China,2014-01-23,"['China', 'Colombia', 'Togo', 'Kuwait', 'Bank (Albania)', 'Dinka', 'Head of Government (Poland)', 'The Standard', 'Thailand', 'People Associated with the Opposition (Mauritania)']"
3688,Mohammad Javad Zarif,Make statement,Iran,2014-07-08,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
3689,Police (Australia),Make statement,Criminal (Australia),2014-12-07,"['Ministry (Venezuela)', 'Treasury/Finance Ministry (Bangladesh)', 'Other Authorities / Officials (Mexico)', 'Milos Zeman', 'Toomas Hendrik Ilves', 'Criminal (Australia)', 'Martin Stropnický', 'Oluṣẹgun Ọbasanjọ', 'Michael Sata', 'Gjorge Ivanov']"
3690,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-07-26,"['Thailand', 'Combatant (Islamic State of Iraq and the Levant)', 'Citizen (Thailand)', 'Gideon Gono', 'Ireland', 'Prayuth Chan-ocha', 'Military (Thailand)', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Laos', 'Royal Thai Police']"
3691,John Kerry,Express intent to meet or negotiate,Myanmar,2014-08-09,"['Court Judge (Nigeria)', 'Mbhazima Samuel Shilowa', 'Congo', 'Defense / Security Ministry (Nigeria)', 'Citizen (Tanzania)', 'Government (United States)', 'Angela Merkel', 'Giorgio Napolitano', 'Head of Government (Egypt)', 'High Ranking Military Personnel (Jordan)']"
3692,Police (Malaysia),Increase police alert status,Malaysia,2014-04-17,"['Head of Government (Ukraine)', 'Scientist (Russia)', 'Labor and Employment Ministry (Egypt)', 'Shahin Mustafayev', 'UN Security Council', 'United Arab Emirates', 'China', 'Military (North Korea)', 'Abdirahman Ducaale Bayle', 'Citizen (Namibia)']"
3693,Ministry (Russia),Make statement,Alexander Vershbow,2014-10-21,"['News Editor (Niger)', 'Legislature (Italy)', 'Other Authorities / Officials (Philippines)', 'Guatemala', 'Rashtriya Swayamsevak Sangh', 'Michael Sata', 'Government (Germany)', 'Business (Bulgaria)', 'National Council for Peace and Order of Thailand', 'Citizen (International)']"
3694,Association of Southeast Asian Nations,Criticize or denounce,Vietnam,2014-08-11,"['Vietnam', 'Presidential Press Service (Nigeria)', 'Militant (Syria)', 'Gurbanguly Berdymukhammedov', 'Abdirahman Ducaale Bayle', 'Children (Philippines)', 'Grand National Party', 'Dinka', 'Colombia', 'Jakaya Mrisho Kikwete']"
3695,Court Judge (India),Criticize or denounce,Citizen (India),2014-05-08,"['Murtala Nyako', 'Citizen (India)', 'John Baird', 'Foreign Affairs (United States)', 'Military (Turkey)', 'Yemi Osinbajo', 'Head of Government (Kosovo)', 'Congress of South African Trade Unions', 'Interfax', 'Ministry (Liberia)']"
3696,Gen Prayut Chan-o-cha,Make statement,Thailand,2014-12-15,"['Thailand', 'Government (Kenya)', 'Agence France-Presse', 'Citizen (Bangladesh)', 'Other Authorities / Officials (Nigeria)', 'Afghanistan', 'Military (China)', 'Women (Israel)', 'Member of Parliament (Australia)', 'Theresa May']"
3697,Al-Shabaab,Consult,Media Personnel (Somalia),2014-10-21,"['Media Personnel (Somalia)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Indigenous People (Nigeria)', 'Haider Al-Abadi', 'Citizen (Croatia)', 'Hamas', 'Media (Russia)', 'Philip Hammond', 'Kim Jong-Un', 'Kit Siang']"
3698,John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-03-31,"['Sergey Viktorovich Lavrov', 'Mexico', 'Doctors Without Borders', 'Government Official (Egypt)', 'Royal Thai Police', 'Liyel Imoke', 'Inter-Services Intelligence', 'Foreign Affairs (Czech Republic)', 'Defense / Security Ministry (Nigeria)', 'Murtala Nyako']"
3699,Fiji,Host a visit,Xi Jinping,2014-11-21,"['Business (Russia)', 'City Mayor (Costa Rica)', 'Head of Government (Ukraine)', 'Xi Jinping', 'Military (Russia)', 'Moro Islamic Liberation Front', 'Tamar Beruchashvili', 'Combatant (Iraqi Kurds)', 'Federica Mogherini', 'Other Authorities / Officials (Russia)']"
3700,People Associated with the Opposition (Sri Lanka),Reject,Mahinda Rajapaksa,2014-12-28,"['Head of Government (China)', 'Media (Qatar)', 'Mbhazima Samuel Shilowa', 'Ministry (Iran)', 'Mahinda Rajapaksa', 'China', 'Military (Philippines)', 'Mevlut Cavusoglu', 'Chuck Hagel', 'Ministry (La Francophonie)']"
3701,Police (Australia),Make an appeal or request,Citizen (Australia),2014-02-18,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
3702,Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-11-08,"['Sergey Viktorovich Lavrov', 'Cabinet / Council of Ministers / Advisors (United States)', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
3703,Ethiopia,Consult,African Union,2014-11-08,"['Augustine Alegeh', 'African Union', 'Member of the Judiciary (South Korea)', 'Guinea', 'Citizen (Thailand)', 'Terrorist (Syria)', 'Ministry (Venezuela)', 'Sadayuki Sakakibara', 'Military (Central African Republic)', 'Canada']"
3704,Mohammad Javad Zarif,Make statement,Terrorist Leader (Syria),2014-09-02,"['Military Personnel - Special (Algeria)', 'Military Personnel - Special (Kenya)', 'High Commission for Refugees', 'Chibuike Rotimi Amaechi', 'Main Opposition (Fiji)', 'Businessperson (Tunisia)', 'Togo', 'Military Personnel (Afghanistan)', 'Ministry (Indian Administered Kashmir)', 'Government (United States)']"
3705,Sushil Koirala,Make a visit,Thailand,2014-03-05,"['Thailand', 'Public Prosecutor (Greece)', 'Men (India)', 'Iraq', 'Military Personnel (Libya)', 'Gabriel Torwua Suswam', 'Ethiopia', 'Criminal (Tanzania)', 'Head of Government (Egypt)', '""Uganda People\'s Defence Force""']"
3706,Citizen (Nigeria),Make an appeal or request,Public Courts (Nigeria),2014-12-20,"['Citizen (India)', 'Hassan Joho', 'Citizen (Nigeria)', 'Party Member (United Kingdom)', 'Civic Group (India)', '""Awami (People\'s) League""', 'Government (Nigeria)', 'Ministry (Czech Republic)', 'High Ranking Military Personnel (Jordan)', 'Viktor Orban']"
3707,Military Personnel (Uganda),Make statement,Joseph Kony,2014-05-18,"['Vitaliy Yarema', 'Ministry (Afghanistan)', 'Employee (Kenya)', 'Ryoo Kihl-jae', 'Environment Department/Ministry (United States)', 'National Unity Party (Somalia)', 'Abdullah Gül', 'Political Parties (Lebanon)', 'John Kerry', 'Bhutan']"
3708,Victor Ponta,Consult,Ministry (Romania),2014-02-26,"['Ministry (Romania)', 'Lawmaker (Argentina)', 'Medical Personnel (Jordan)', 'Hun Sen', 'National Union Party (Romania)', 'Chris Murphy', 'Hafiz Rashid', 'Frank Bainimarama', 'Victor Ponta', 'International Court of Justice']"
3709,Citizen (Kenya),Make an appeal or request,Uhuru Muigai Kenyatta,2014-07-07,"['Police (Belgium)', 'Women (Angola)', 'Uhuru Muigai Kenyatta', 'Morocco', 'Party Member (Jordan)', 'Foreign Affairs (Ukraine)', 'Party Member (Czech Republic)', 'Massoud Barzani', 'Media Personnel (United States)', 'Isaias Afewerki']"
3710,Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-07-05,"['Police (Burundi)', 'Abdel Fattah Al-Sisi', 'Sudan', 'Greenpeace', 'Protester (Egypt)', 'Nicos Anastasiades', 'Ministry (Egypt)', 'Cabinet / Council of Ministers / Advisors (Somalia)', 'Lawmaker (Indonesia)', 'Independent Corrupt Practices Commission']"
3711,Tajikistan,Host a visit,Foreign Affairs (Belarus),2014-10-20,"['Legislature (Libya)', 'Amit Shah', 'Office of the United Nations High Commissioner for Human Rights', 'Yakubu Gowon', 'Ministry (Venezuela)', 'Student (Hong Kong)', 'Bank (Venezuela)', 'Sergey Kuzhugetovich Shoygu', 'Mexico', 'Party of Regions']"
3712,Government (Kenya),Impose restrictions on political freedoms,Citizen (Kenya),2014-10-28,"['Iraq', 'Government (United States)', 'Special Rapporteurs of the United Nations', 'Gazprom Neft', 'Military (Niger)', 'Government (Georgia)', 'Population (Angola)', 'Philippines', 'Ministry of Mining (Zimbabwe)', 'Hezbollah']"
3713,Uganda People's Defence Force,Use conventional military force,Riek Machar,2014-01-17,"['Media (Africa)', 'Tanzania', 'New Zealand', 'Citizen (Venezuela)', 'Sudan', 'Indigenous People (United States)', 'Population (Angola)', 'Al-Shabaab', 'Military (Niger)', 'Pope Francis']"
3714,Catherine Ashton,Express intent to meet or negotiate,Mohammad Javad Zarif,2014-03-15,"['Government (Africa)', 'Ministry (Venezuela)', 'Ministry (South Africa)', 'Party Member (Taiwan)', 'Government Official (Japan)', 'Abdullah Gül', 'Nasser Judeh', 'Gamini Peiris', 'Colombia', 'Independent Corrupt Practices Commission']"
3715,Police (Japan),Investigate,Women (China),2014-11-12,"['Alexander Lukashevich', 'Ministry (Tunisia)', 'Foreign Affairs (United States)', 'Democratic Forces for the Liberation of Rwanda', 'UN Security Council', 'Simbarashe Mumbengegwi', 'Military (Lebanon)', 'Nabih Berri', 'Ministry (Malaysia)', 'Head of Government (Mexico)']"
3716,Labor Union (India),Make statement,Employee (India),2014-07-25,"['Employee (India)', 'Foreign Affairs (Venezuela)', 'Tamar Beruchashvili', 'Citizen (Georgia)', 'Environment Department/Ministry (United States)', 'Canada', 'Business (Russia)', 'Party Member (Taiwan)', 'Police (Philippines)', 'Member of Parliament (Germany)']"
3717,Court Judge (Kuwait),"Arrest, detain, or charge with legal action",Criminal (Kuwait),2014-09-18,"['Government (Ecuador)', 'Chaudhry Nisar Ali Khan', 'Amnesty International', 'Government (Holy See (Vatican City State))', 'Abdelilah Benkirane', 'Terrorist (Algeria)', 'Citizen (Bulgaria)', 'Business (Zimbabwe)', 'Militant (Colombia)', 'Head of Government (Finland)']"
3718,Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Saud bin Faisal bin Abdul-Aziz,2014-06-20,"['""Uganda People\'s Defence Force""', 'Interfax', 'Ministry of Shipping (India)', 'Business (Bulgaria)', 'Military Personnel (Paraguay)', 'Defense / Security Ministry (Angola)', 'Head of Government (Afghanistan)', 'Ombudsman (Georgia)', '""Citizen (Cote d\'Ivoire)""', 'Representatives (Slovakia)']"
3719,Border Security Force,Criticize or denounce,Criminal (Pakistan),2014-04-06,"['Fan Changlong', 'European Central Bank', 'Police (Malaysia)', 'High Ranking Military Personnel (Jordan)', 'Agence France-Presse', 'Head of Government (Cuba)', 'Algirdas Butkevičius', 'Businessperson (Philippines)', 'Head of Government (Ukraine)', 'Other Authorities / Officials (Romania)']"
3720,Mohammad Reza Naqdi,Make statement,Iran,2014-01-13,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
3721,Hashim Thaçi,Express intent to meet or negotiate,Serbia,2014-10-27,"['Somsavat Lengsava', 'Militant (Boko Haram)', 'Congo', 'Other Authorities / Officials (Romania)', 'Citizen (Uganda)', 'Military (Argentina)', 'Other Authorities / Officials (Russia)', 'Member of Parliament (Australia)', 'Head of Government (Egypt)', 'Majid Takht Ravanchi']"
3722,Lamure Latour,Consult,Agustín Rossi,2014-02-22,"['Gambia', 'Agustín Rossi', 'Military (Argentina)', 'Government (Poland)', 'Professor (France)', 'Armed Gang (Egypt)', 'Population (Kenya)', 'Giorgio Napolitano', 'Armed Forces of the Republic of Armenia', 'Defense / Security Ministry (Nigeria)']"
3723,Chris Patten,Make statement,China,2014-11-05,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
3724,Ali Hassan Khalil,Make statement,Civil Servant (Lebanon),2014-07-17,"['Kathleen Wynne', 'City Mayor (South Africa)', 'Martin Lidegaard', 'High Ranking Military Personnel (Pakistan)', 'Citizen (Sudan)', 'Bishop (South Africa)', 'Armed Gang (Singapore)', 'Justice Department/Ministery (Azerbaijan)', 'Chuck Hagel', 'Ministry (Nigeria)']"
3725,Eshaq Jahangiri,Consult,Nuri al-Maliki,2014-11-10,"['Nuri al-Maliki', 'Shahin Mustafayev', 'Lawyer/Attorney (Argentina)', 'Islam Karimov', 'Government (Africa)', 'Royal Administration (Jordan)', 'Raheel Sharif', 'Barack Obama', 'Christian Democratic Union', '""Uganda People\'s Defence Force""']"
3726,Protester (Thailand),Express intent to meet or negotiate,France,2014-03-06,"['National Anti-Corruption Commission (Thailand)', 'Ethiopia', 'Gjorge Ivanov', 'Ireland', 'Nabih Berri', 'Head of Government (China)', 'Tsai Ing-wen', 'Head of Government (Egypt)', 'Government (Africa)', 'Chuck Hagel']"
3727,Azubuike Ihejirika,Make an appeal or request,Daily Trust,2014-02-14,"['Sudan', 'Royal Administration (Spain)', 'Government (United States)', 'Julie Bishop', 'Indigenous People (Turkey)', 'Labor Union (Nigeria)', 'Tanzania', 'Military Academy (North Korea)', 'Ministry (Russia)', 'Detainee (Rwanda)']"
3728,Member of Parliament (India),Criticize or denounce,Labor Union (India),2014-07-16,"['People Associated with the Opposition (Bahrain)', 'Shiv Sena', 'Indigenous People (Tanzania)', 'Lawyer/Attorney (South Korea)', 'Police (Kenya)', 'Police (Cambodia)', 'Democratic Party (Nigeria)', 'Conservative Party (United Kingdom)', 'Tsai Ing-wen', 'Government (Syria)']"
3729,Air Force (Iraq),Use conventional military force,Terrorist (Islamic State of Iraq and the Levant),2014-06-22,"['Legislature (Czech Republic)', 'Emrullah Isler', 'Other Authorities / Officials (China)', 'Shahin Mustafayev', 'Yu Zhengsheng', 'Police (Libya)', 'Citizen (Bermuda)', 'Military Academy (North Korea)', 'Barack Obama', 'Militant (Boko Haram)']"
3730,South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014-11-14,"['Member of Parliament (South Africa)', 'Religion (India)', 'Philip Boedoro', 'Police (Sudan)', 'South Africa', 'Activist (Syria)', 'Catherine Ashton', 'National Iranian Tanker Company', 'Hemant Soren', 'Men (New Zealand)']"
3731,John Kerry,Consult,Ma Ying Jeou,2014-07-02,"['Ma Ying Jeou', 'Tsai Ing-wen', 'Reserve Personnel (Iran)', 'Head of Government (Afghanistan)', 'Sergey Kuzhugetovich Shoygu', 'Shiv Sena', 'Lawyer/Attorney (Jordan)', 'Datuk Seri Tengku Adnan Tengku Mansor', 'Media (Zimbabwe)', 'Sadayuki Sakakibara']"
3732,Ogaden National Liberation Front,Consult,Media (Africa),2014-11-11,"['Media (Africa)', 'Agence France-Presse', 'Member of the Judiciary (Bangladesh)', 'Edgars Rinkevics', 'Mbhazima Samuel Shilowa', 'Iran', 'Interfax', 'Massoud Barzani', 'Court Judge (Iraq)', 'Vietnam']"
3733,Citizen (Nigeria),Accuse,Government (Nigeria),2014-06-16,"['Congress of South African Trade Unions', 'Anabela Rodrigues', 'Carrie Lam', 'Government (Nigeria)', 'Citizen (Nigeria)', 'Daniel Scioli', 'Oman', 'Foreign Affairs (Hungary)', 'Ethiopia', 'Head of Government (India)']"
3734,Islamic Preacher (Iran),Make an appeal or request,Children (Iran),2014-03-23,"['Jeff Seeney', 'Detainee (Lebanon)', 'Shahin Mustafayev', 'National Anti-Corruption Commission (Thailand)', 'Aladdin Boroujerdi', 'Population (Angola)', 'Head of Government (Ethiopia)', 'Al Jazeera', 'Legislature (Argentina)', 'Police (Cambodia)']"
3735,Arseniy Yatsenyuk,Consult,Radoslaw Sikorski,2014-07-16,"['Military (Argentina)', 'Radoslaw Sikorski', 'Police (Israel)', 'Citizen (International)', 'Party Member (Japan)', 'Member of Parliament (Australia)', 'Majid Takht Ravanchi', 'Main Opposition (Burkina Faso)', 'Bhupinder Singh Hooda', 'Men (India)']"
3736,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-08-14,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
3737,Member of Parliament (Iraq),Provide aid,Education (Iraq),2014-05-09,"['Special Rapporteurs of the United Nations', 'Government (United States)', 'National Anti-Corruption Commission (Thailand)', 'Military (El Salvador)', 'Legislature (Libya)', 'Shiv Sena', 'Indigenous People (Greece)', 'Foreign Affairs (Russia)', 'Military Personnel (Mali)', 'Religion (India)']"
3738,Iran,Engage in diplomatic cooperation,Armenia,2014-05-05,"['Medical Personnel (Jordan)', 'Media (Africa)', 'Akja Nuberdiyeva', '""Citizen (Cote d\'Ivoire)""', 'Abdullah Gül', 'Representatives (United States)', 'Nasser Judeh', 'Armed Forces of the Republic of Armenia', 'Armenia', 'Cabinet / Council of Ministers / Advisors (United States)']"
3739,Citizen (Indonesia),Demand,Police (Indonesia),2014-06-04,"['Police (Indonesia)', 'Ayman Farid Abu-Hadid', 'Anandiben Patel', 'Defense / Security Ministry (Italy)', 'Central Bank (Russia)', 'Trade Union Congress', 'Citizen (Indonesia)', 'Treasury/Finance Ministry (Thailand)', 'Qatar', 'Police (Benin)']"
3740,Victoria Nuland,Consult,Nicos Anastasiades,2014-02-04,"['Nicos Anastasiades', 'Armed Rebel (Ukraine)', 'Pope Francis', 'Military Personnel (Canada)', 'Chris Murphy', 'Business (Bulgaria)', 'Media Personnel (Somalia)', 'Police (Belgium)', 'Foreign Affairs (Israel)', 'Al Jazeera']"
3741,Akitaka Saiki,Express intent to meet or negotiate,South Korea,2014-12-28,"['Military Personnel (Canada)', 'South Korea', 'Amit Shah', '""Citizen (Cote d\'Ivoire)""', 'Armed Gang (Afghanistan)', 'Newspaper (Japan)', 'European Central Bank', 'Royal Administration (Jordan)', 'Employee (Malaysia)', 'Party Member (Taiwan)']"
3742,Victor Ponta,Make statement,Romania,2014-09-19,"['European Central Bank', 'Presidential Press Service (Nigeria)', 'Foreign Affairs (Czech Republic)', 'Julie Bishop', 'Progressive Party (Nigeria)', 'Nathan Cirillo', 'Joseph Sinde Warioba', 'Lawyer/Attorney (Philippines)', 'Citizen (Tanzania)', 'Romania']"
3743,Political Parties (Pakistan),Praise or endorse,Government (Pakistan),2014-09-02,"['Government (Pakistan)', 'Secret Agent (Philippines)', 'Abdul Aziz', 'Activist (Nigeria)', 'Government (United States)', 'Daniel Mitov', 'Indigenous People (Nigeria)', 'Philip Boedoro', 'Sikh (India)', 'Businessperson (United Kingdom)']"
3744,South Korea,"Reject plan, agreement to settle dispute",North Korea,2014-07-01,"['South Korea', 'Japan', 'Foreign Affairs (Italy)', 'Special Rapporteurs of the United Nations', 'Fumio Kishida', 'North Korea', 'Guinea', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Inter-Services Intelligence', 'Ministry (Liberia)']"
3745,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-14,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
3746,Police (Australia),Investigate,Citizen (Australia),2014-12-08,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
3747,China,Host a visit,Kazakhstan,2014-08-19,"['Congo', 'Liyel Imoke', 'City Mayor (South Africa)', 'Trade Union Congress', 'Guinea', 'Defense / Security Ministry (Ukraine)', 'Ivan Gasparovic', 'Military (El Salvador)', 'International Monetary Fund', 'Sergey Kuzhugetovich Shoygu']"
3748,Other Authorities / Officials (Mexico),Consult,Miguel Ángel Osorio Chong,2014-01-13,"['Miguel Ángel Osorio Chong', 'Professor (Iran)', 'Enrico Letta', 'Central Bank (Russia)', 'Alexander Lukashevich', 'Lawyer/Attorney (Philippines)', 'Villager (India)', 'Court Judge (India)', 'City Mayor (South Africa)', 'People Associated with the Opposition (Bahrain)']"
3749,John Kerry,Meet at a 'third' location,Foreign Affairs (Russia),2014-03-09,"['UN Security Council', 'Ng Eng Hen', 'Vietnam', 'Michael Sata', 'Interfax', 'Congress of South African Trade Unions', 'Lawyer/Attorney (Australia)', 'Citizen (United Kingdom)', 'Other Authorities / Officials (United States)', 'Isaias Afewerki']"
3750,Umar al Bashir,Make statement,Eritrea,2014-01-19,"['Secretariat (Nigeria)', 'Victoria Nuland', 'Energy Department/Ministry (Iran)', 'Main Opposition (Turkey)', 'Victor Ponta', 'UN Security Council', 'Christian Democratic Union', 'Member of Parliament (Iran)', 'City Mayor (Ukraine)', 'Djibouti']"
