,e1,relation,e2,date,predictions
3085,Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-02,"['Agence France-Presse', 'Joseph Robinette Biden', 'Citizen (Venezuela)', 'Serbia', 'Angola', 'Milos Zeman', 'Governor (Papua New Guinea)', 'People Associated with the Opposition (Ukraine)', 'Member of the Judiciary (Kyrgyzstan)', 'Anandiben Patel']"
3086,Office of the United Nations High Commissioner for Human Rights,Make a visit,South Sudan,2014-05-06,"['South Sudan', 'Foreign Affairs (Italy)', 'Member of Parliament (Germany)', 'Police (Belgium)', 'Mohamed Ould Abdel Aziz', 'Mbhazima Samuel Shilowa', 'City Mayor (Ukraine)', 'Head of Government (Afghanistan)', 'Benazir Bhutto', 'Government (Sudan)']"
3087,Information / Communication / Transparency Ministry (France),Make statement,Air France,2014-09-24,"['Citizen (Bangladesh)', 'Xi Jinping', 'Legislature (Czech Republic)', 'Business (Canada)', 'Democratic Party (Nigeria)', 'Education (United States)', 'People Associated with the Opposition (Bahrain)', 'Omar Abdullah', 'Military Personnel (Mali)', 'Abhisit Vejjajiva']"
3088,Member of Parliament (South Africa),Demand,Ministry (South Africa),2014-09-02,"['Muhammadu Buhari', 'Inter-Services Intelligence', 'Ministry (Tunisia)', 'Legislature (Iraq)', 'Ministry (South Africa)', 'Ministry (Norfolk Island)', 'Greenpeace', 'Special Rapporteurs of the United Nations', 'Tajikistan', 'Court Judge (Yemen)']"
3089,Governor (Chile),Sign formal agreement,Juan del Granado,2014-03-01,"['Thailand', 'Head of Government (Sierra Leone)', 'Davies Ibiamu Ikanya', 'National Council for Peace and Order of Thailand', 'Khadija Ismayilova', 'Guy Ryder', 'Legislature (China)', 'John Baird', 'Businessperson (Mauritania)', 'Main Opposition (Greece)']"
3090,Armed Band (Afghanistan),"Abduct, hijack, or take hostage",Employee (Afghanistan),2014-07-01,"['European Parliament', 'Military Personnel (Kenya)', 'Greenpeace', 'Governor (Chile)', 'Liyel Imoke', 'Boko Haram', 'Cameroon', 'Citizen (Turkey)', 'Citizen (Georgia)', 'Abdirahman Ducaale Bayle']"
3091,Fula people,Appeal for diplomatic cooperation (such as policy support),Other Authorities / Officials (Nigeria),2014-04-28,"['European Parliament', 'Other Authorities / Officials (Nigeria)', 'Businessperson (United Kingdom)', 'Main Opposition (Turkey)', 'Media Personnel (Zimbabwe)', 'Boko Haram', 'Militant (Yemen)', 'Military Academy (North Korea)', 'Afghanistan', 'Citizen (Turkey)']"
3092,Paolo Gentiloni,Consult,Sergey Viktorovich Lavrov,2014-11-12,"['Sergey Viktorovich Lavrov', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)', 'Abu Bakr al-Baghdadi']"
3093,John Kerry,Make a visit,North Korea,2014-02-12,"['North Korea', 'Criminal (Guatemala)', 'Milos Zeman', 'Interfax', 'Citizen (Kenya)', 'Viktor Orban', 'Ryoo Kihl-jae', 'Arab Israelis', 'Democratic Party (Nigeria)', 'Ministry (Liberia)']"
3094,Angela Merkel,Consult,Barack Obama,2014-06-23,"['Barack Obama', 'Trade Union Congress', 'Sheikh Hamad bin Isa al Khalifah', 'Citizen (Brazil)', 'Isaias Afewerki', 'Head of Government (China)', 'Ministry (Venezuela)', 'Ministry (Egypt)', 'Massoud Barzani', 'Employee (India)']"
3095,Mohamed Ould Abdel Aziz,Consult,Barack Obama,2014-08-07,"['Barack Obama', 'Trade Union Congress', 'Sheikh Hamad bin Isa al Khalifah', 'Citizen (Brazil)', 'Isaias Afewerki', 'Head of Government (China)', 'Ministry (Venezuela)', 'Ministry (Egypt)', 'Massoud Barzani', 'Employee (India)']"
3096,Terry McAuliffe,Make statement,China,2014-03-19,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
3097,Other Authorities / Officials (China),Investigate,China,2014-03-19,"['China', 'Pope Francis', 'UN Security Council', 'Iran', 'Colombia', 'Armenia', 'Shahin Mustafayev', 'National Anti-Corruption Commission (Thailand)', 'New Zealand', 'Military (North Korea)']"
3098,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-05-14,"['Citizen (Nigeria)', 'Frank Mba', 'Food and Agriculture Organization', 'People Associated with the Opposition (Bahrain)', 'Association of Southeast Asian Nations', 'Moro Islamic Liberation Front', 'Media Personnel (Maldives)', 'Murtala Nyako', 'Ma Ying Jeou', 'Ryoo Kihl-jae']"
3099,City Mayor (Philippines),Make statement,Philippines,2014-01-23,"['United Arab Emirates', 'Victor Ponta', 'Philippines', 'Education (United States)', 'Ministry (France)', 'Member of Parliament (Germany)', 'Armed Forces of the Republic of Armenia', 'Media (Africa)', 'Kuwait', 'Citizen (Kenya)']"
3100,John Kerry,Praise or endorse,Iran,2014-05-13,"['Iran', 'Ministry (Liberia)', 'Congress of South African Trade Unions', 'Ibrahim Hassan Saif', 'European Central Bank', 'People Associated with the Opposition (Bahrain)', 'Abdul Aziz', 'Takeshi Onaga', 'Citizen (Venezuela)', 'Ministry (Tunisia)']"
3101,Cabinet / Council of Ministers / Advisors (United States),Consult,Benjamin Netanyahu,2014-07-23,"['Benjamin Netanyahu', 'Takeshi Onaga', 'Government (Argentina)', 'Other Authorities / Officials (Lebanon)', 'Military Personnel (Afghanistan)', 'Tamar Beruchashvili', 'Head of Government (China)', 'Foreign Affairs (Ukraine)', 'Ministry of Mining (Zimbabwe)', 'Togo']"
3102,Ministry (Belgium),Make empathetic comment,Government (Belgium),2014-07-24,"['Lawyer/Attorney (Argentina)', 'Abdullah Gül', 'Public Prosecutor (Greece)', 'James Wani Igga', 'Education (United States)', 'National Unity Party (Somalia)', 'Ministry (Tanzania)', 'Victoria Nuland', 'Panfilio Lacson', 'Martin Stropnický']"
3103,Iran,Engage in negotiation,Armenia,2014-05-06,"['Armenia', 'International Court of Justice', 'Congress (Philippines)', 'Military Personnel - Special (Mexico)', 'Joachim Gauck', 'Government Official (Japan)', 'Ministry (Liberia)', 'Other Authorities / Officials (Egypt)', 'People Associated with the Opposition (Bahrain)', 'Men (Pakistan)']"
3104,Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-06-03,"['Citizen (Nigeria)', 'Jakaya Mrisho Kikwete', 'Cambodia', 'Military (Argentina)', 'Combatant (Egypt)', 'Foreign Affairs (Czech Republic)', 'Tajikistan', 'Business (Russia)', 'Mouloud Hamrouche', 'Citizen (Uganda)']"
3105,Cambodia,Praise or endorse,Barack Obama,2014-09-18,"['Barack Obama', 'Abdullah Gül', 'Majid Takht Ravanchi', 'International Government Organizations', 'Government (Pakistan)', 'Lawmaker (Indonesia)', 'Newspaper (Japan)', 'Nigerian Navy', 'Pakistan Tehreek-e-Insaf', 'Foreign Affairs (Russia)']"
3106,South Korea,Express intent to meet or negotiate,Iran,2014-01-11,"['Government (Pakistan)', 'Member of the Judiciary (Nigeria)', '""Citizen (Cote d\\\'Ivoire)""', 'Health Ministry (Syria)', 'Military (Mozambique)', 'Defense / Security Ministry (Nigeria)', 'Media (Africa)', 'Iran', 'Labor Union (India)', 'Murtala Nyako']"
3107,Bahamas,Grant diplomatic recognition,Kazakhstan,2014-12-11,"['Kazakhstan', 'Kidnapper (Indonesia)', 'National Anti-Corruption Commission (Thailand)', 'Saud bin Faisal bin Abdul-Aziz', 'City Mayor (South Africa)', 'Mahinda Rajapaksa', 'János Áder', 'Slavko Linic', 'Ali Abdullah Saleh', 'Rioter (Myanmar)']"
3108,Main Opposition (Greece),Demand,Citizen (Greece),2014-01-10,"['Indigenous People (Thailand)', 'Citizen (Greece)', 'Shahin Mustafayev', 'International Monetary Fund', 'Local Media (Ukraine)', 'Pope Francis', 'Ministry (Iran)', 'Media (Africa)', 'Guinea', 'Cambodia']"
3109,Malaysia,Express intent to provide material aid,Vietnam,2014-11-25,"['Massoud Barzani', 'China', 'Vietnam', 'Police (Burundi)', 'Phung Quang Thanh', 'Xi Jinping', 'Lawmaker (Indonesia)', 'Special Rapporteurs of the United Nations', 'Military Academy (North Korea)', 'Arseniy Yatsenyuk']"
3110,Head of Government (India),Accuse,Media (India),2014-12-06,"['France', 'Shahin Mustafayev', 'Government (Africa)', 'International Monetary Fund', '""Citizen (Cote d\\\'Ivoire)""', 'Combatant (Syrian Kurds)', 'Citizen (Brazil)', 'Combatant (Iraqi Kurds)', 'Public Prosecutor (Greece)', 'Royal Thai Police']"
3111,Milos Zeman,Investigate,Ministry (Czech Republic),2014-02-05,"['Ministry (Czech Republic)', 'Togo', 'Military Personnel (Thailand)', 'Royal Thai Police', 'Veterans (Croatia)', 'Robert Hughes', 'International Court of Justice', 'Sergey Kuzhugetovich Shoygu', 'Ministry (France)', 'Newspaper (Japan)']"
3112,Citizen (Bangladesh),Criticize or denounce,Bangladesh Nationalist Party,2014-03-04,"['Angola', 'Morocco', 'Foreign Affairs (Italy)', 'Other Authorities / Officials (Zimbabwe)', 'Government Official (Japan)', 'National Anti-Corruption Commission (Thailand)', 'European Central Bank', 'Tanzania', 'Bank (Iran)', 'Benazir Bhutto']"
3113,Court Judge (India),Reject,High Ranking Military Personnel (India),2014-09-03,"['National Council for Peace and Order of Thailand', 'Human Rights Watch', 'Detainee (Rwanda)', 'Malaysia', 'Government (Pakistan)', 'Liberal Democratic Party of Russia', 'Conservative Party (United Kingdom)', 'Government (Africa)', 'Police (Libya)', 'Arseniy Yatsenyuk']"
3114,Dmitry Olegovich Rogozin,Engage in negotiation,Wang Yang,2014-05-19,"['Wang Yang', 'Barack Obama', 'Representatives (Slovakia)', 'Other Authorities / Officials (Lebanon)', 'Media Personnel (Poland)', 'Agence France-Presse', 'Media (Africa)', 'Kevin Rudd', 'Togo', 'Main Opposition (Turkey)']"
3115,Criminal (Somalia),"Return, release person(s)",Citizen (India),2014-11-01,"['Citizen (India)', 'Sergey Kuzhugetovich Shoygu', 'Ryoo Kihl-jae', 'Iran', 'North Atlantic Treaty Organization', 'Bhutan', 'Cabinet / Council of Ministers / Advisors (United States)', 'Frank Mba', 'Police (Kyrgyzstan)', 'Interfax']"
3116,Ministry (Iran),Make statement,Iran,2014-07-02,"['Iran', 'Head of Government (South Korea)', 'Government Official (Japan)', 'Court Judge (Kenya)', 'Citizen (South Korea)', 'Media (Saudi Arabia)', 'Nasser Judeh', 'Paul Kagame', 'Ashraf Ghani Ahmadzai', 'Head of Government (China)']"
3117,Head of Government (India),Make an appeal or request,Citizen (India),2014-02-19,"['Citizen (India)', 'Religion (India)', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Tajikistan', 'Police (Burundi)', 'Pavlo Klimkin', 'Associated Press', 'Hamas', 'Head of Government (Egypt)', 'Business (Bulgaria)']"
3118,Treasury/Finance Ministry (Greece),Make statement,European Central Bank,2014-09-12,"['European Central Bank', 'Gambia', 'Other Authorities / Officials (Russia)', 'Ministry (Nigeria)', 'Liyel Imoke', 'Austria Press Agency', 'Djibouti', 'Michael D. Higgins', 'Medical Personnel (Jordan)', 'Businessperson (Taiwan)']"
3119,Foreign Affairs (United States),Appeal for diplomatic cooperation (such as policy support),South Korea,2014-03-06,"['South Korea', 'Keriako Tobiko', 'Japan', 'Labor Union (Croatia)', 'Defector (North Korea)', 'Mary Robinson', 'Military (Argentina)', 'Tzipi Livni', 'Insurgent (Fula people)', 'Xi Jinping']"
3120,Umar al Bashir,Make a visit,Sudan,2014-05-08,"['Sudan', 'Mouloud Hamrouche', 'Liberal Democratic Party of Russia', 'Tahirul Qadri', 'International Government Organizations', 'Barnaba Marial Benjamin', 'Toomas Hendrik Ilves', 'Jamil Mahuad', 'Angela Merkel', 'Special Rapporteurs of the United Nations']"
3121,Hezbollah,Cooperate militarily,Abbas Medlej,2014-09-07,"['Citizen (Botswana)', 'Didier Burkhalter', 'Tajikistan', 'Iran Khodro Company', 'Ireland', 'Other Authorities / Officials (Hong Kong)', 'Vojislav Šešelj', 'Member of the Judiciary (Turkey)', 'Naval (Thailand)', 'Raheel Sharif']"
3122,Juan Carlos I,Make statement,Felipe de Borbon,2014-06-03,"['Pope Francis', 'Sergey Kuzhugetovich Shoygu', 'Emmanuel Eweta Uduaghan', 'Chief Court Judge (Malaysia)', 'Qatar', 'Other Authorities / Officials (Zimbabwe)', 'Evangelos Venizelos', 'Governor (Venezuela)', 'Energy Department/Ministry (Jordan)', 'Legislature (Czech Republic)']"
3123,Guy Scott,Make an appeal or request,Citizen (Zambia),2014-11-10,"['Kuwait', 'Prayuth Chan-ocha', 'Uhuru', 'Pope Francis', 'Secretariat (Shanghai Cooperation Organization)', 'Public Prosecutor (Greece)', 'John Baird', 'Legislature (Argentina)', 'Government (Sudan)', 'Colombia']"
3124,European Parliament,Praise or endorse,Algirdas Butkevičius,2014-06-16,"['Algirdas Butkevičius', 'Colombia', 'Cristina Fernández de Kirchner', 'Business (Bulgaria)', 'Frank Bainimarama', 'International Government Organizations', 'Children (Zimbabwe)', 'Mexico', 'Democratic Party (Nigeria)', 'Citizen (Nigeria)']"
3125,Other Authorities / Officials (Mexico),"Arrest, detain, or charge with legal action",Criminal (Mexico),2014-06-07,"['Djibouti', 'Canada', 'Criminal (Mexico)', 'Citizen (Turkey)', 'Head of Government (Ukraine)', 'Citizen (Germany)', 'Men (Pakistan)', 'Abu Sayyaf', 'Tourist (Colombia)', 'High Ranking Military Personnel (United Kingdom)']"
3126,Police (Malaysia),Investigate,Malaysia,2014-03-17,"['Member of the Judiciary (Bangladesh)', 'Malaysia', 'Engineer (Grenada)', 'Ministry (Liberia)', 'Muhammadu Buhari', 'Head of Government (Mexico)', 'Businessperson (Czech Republic)', 'Member of Parliament (Russia)', '""Citizen (Cote d\\\'Ivoire)""', 'Doctors Without Borders']"
3127,Dmitry Anatolyevich Medvedev,Consult,Arseniy Yatsenyuk,2014-03-01,"['Arseniy Yatsenyuk', 'Foreign Affairs (India)', 'Gen Tanasak Patimapragorn', 'Human Rights Watch', 'Muhammadu Buhari', 'Svoboda', 'Lawmaker (Indonesia)', 'Civic Group (India)', 'Chief Court Judge (Angola)', 'Business (Uruguay)']"
3128,Paolo Gentiloni,Express intent to meet or negotiate,Foreign Affairs (Italy),2014-12-19,"['Ombudsman (Georgia)', 'Protester (Paraguay)', '""Citizen (Cote d\\\'Ivoire)""', 'Akja Nuberdiyeva', 'Agence France-Presse', 'Armed Gang (Afghanistan)', 'Mexico', 'Detainee (Rwanda)', 'Al-Shabaab', 'Ministry (Russia)']"
3129,Shimon Peres,Make a visit,China,2014-04-08,"['China', 'Defense / Security Ministry (Nigeria)', 'Rights Activist (China)', 'Mikhail Margelov', 'Muhammadu Buhari', 'Iraq', 'Association of Southeast Asian Nations', 'Kidnapper (Argentina)', 'Philip Hammond', 'Emmanuel Eweta Uduaghan']"
3130,Doctors Without Borders,Accuse,Sudan,2014-06-20,"['Government (Argentina)', 'Military Personnel (Canada)', 'Ministry (Liberia)', 'Citizen (Thailand)', 'Foreign Affairs (Italy)', 'Citizen (United Kingdom)', 'Anandiben Patel', 'Romania', 'Member of Parliament (India)', 'Chief of Staff (French Air Force)']"
3131,Najam Sethi,Bring lawsuit against,Imran Khan,2014-11-01,"['Imran Khan', 'Milos Zeman', 'Citizen (Brazil)', 'Media Personnel (Pakistan)', 'Abdelilah Benkirane', 'Legislature (Czech Republic)', 'Government (Pakistan)', 'Samuel Sitta', 'Government (Syria)', 'France']"
3132,Randeep Surjewala,Accuse,Citizen (India),2014-04-28,"['Nuri al-Maliki', 'Armenia', 'Togo', 'Citizen (India)', 'UN Security Council', 'Sudan', 'Armed Gang (Mexico)', 'Finance / Economy / Commerce / Trade Ministry (Canada)', 'Religion (India)', 'Doctors Without Borders']"
3133,Militant (Iraq),Assassinate,Employee (Iraq),2014-08-04,"['Togo', 'Men (India)', 'Armed Gang (United States)', 'Education (United States)', 'Mevlut Cavusoglu', 'Media (India)', 'Abu Sayyaf', 'Special Rapporteurs of the United Nations', 'Malaysia', 'Irakli Alasania']"
3134,Franklin Drilon,Demand,Philippines,2014-05-08,"['Philippines', 'Other Authorities / Officials (Egypt)', 'Nicolai Wammen', 'Laos', 'Foreign Affairs (United States)', 'Foreign Affairs (Czech Republic)', 'National Anti-Corruption Commission (Thailand)', 'Military (Russia)', 'Company - Owner or Operator (Nigeria)', 'Doctors Without Borders']"
3135,François Hollande,Make statement,France,2014-04-01,"['France', 'Military Personnel (Mali)', 'Combatant (Egypt)', 'Member of Parliament (Australia)', 'Afghanistan', 'Colombia', 'Vietnam', 'Somsavat Lengsava', 'Ma Ying Jeou', 'Philippines']"
3136,Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-07-27,"['Citizen (Nigeria)', 'Frank Mba', 'Food and Agriculture Organization', 'People Associated with the Opposition (Bahrain)', 'Association of Southeast Asian Nations', 'Moro Islamic Liberation Front', 'Media Personnel (Maldives)', 'Murtala Nyako', 'Ma Ying Jeou', 'Ryoo Kihl-jae']"
3137,Liu Yandong,Consult,Benjamin Netanyahu,2014-05-20,"['Benjamin Netanyahu', 'Takeshi Onaga', 'Government (Argentina)', 'Other Authorities / Officials (Lebanon)', 'Military Personnel (Afghanistan)', 'Tamar Beruchashvili', 'Head of Government (China)', 'Foreign Affairs (Ukraine)', 'Ministry of Mining (Zimbabwe)', 'Togo']"
3138,Iran,Host a visit,Business (New Zealand),2014-02-19,"['Air Force (Taiwan)', 'Police (Kyrgyzstan)', 'Sikh (India)', 'Head of Government (Brazil)', 'Citizen (Chechnya)', 'Laos', 'Ministry (Iran)', 'Office of the United Nations High Commissioner for Human Rights', 'Media Personnel (Maldives)', 'Ethiopia']"
3139,Benjamin Netanyahu,Consult,Likud,2014-11-12,"['Likud', 'Head of Government (India)', 'Ukrinform', 'Student (Bulgaria)', 'Legislature (Argentina)', 'Cleric (Iraq)', 'Businessperson (Czech Republic)', 'Nurse (Venezuela)', 'Military (Thailand)', 'Zhang Dejiang']"
3140,Barack Obama,Make a visit,South Korea,2014-04-23,"['South Korea', 'Myanmar', 'Foreign Affairs (Italy)', 'Independent Corrupt Practices Commission', 'Ministry (Tunisia)', 'Inter-Services Intelligence', 'Lawmaker (Russia)', 'Mary Robinson', 'Amnesty International', 'Special Rapporteurs of the United Nations']"
3141,Kazakhstan,Grant diplomatic recognition,South Africa,2014-11-04,"['South Africa', 'Prayuth Chan-ocha', 'Government (Pakistan)', 'Khalid bin Ali Al Khalifa', 'Police (Sudan)', 'Citizen (Venezuela)', 'Party Member (Afghanistan)', 'Bahrain', 'Defense / Security Ministry (Nigeria)', 'Barnaba Marial Benjamin']"
3142,Head of Government (Ukraine),Consult,Joseph Robinette Biden,2014-11-21,"['Joseph Robinette Biden', 'Kisii', 'Armenia', 'Citizen (Venezuela)', 'Jyrki Katainen', 'Dmitry Anatolyevich Medvedev', 'National Iranian Tanker Company', 'Kyoto University', 'Ministry (Norfolk Island)', 'Police (Ethiopia)']"
3143,United Arab Emirates,"Investigate crime, corruption",Criminal (United Arab Emirates),2014-06-26,"['Tourist (South Korea)', 'Cambodia', 'Ministry (Venezuela)', 'Ministry (Angola)', 'Member of the Judiciary (Nigeria)', 'National Unity Party (Somalia)', 'Uhuru Muigai Kenyatta', 'Xi Jinping', 'Military Personnel (Paraguay)', 'Lawmaker (Indonesia)']"
3144,Kashim Shettima,Make statement,Military Personnel - Special (Nigeria),2014-11-19,"['Head of Government (Nigeria)', 'Military Personnel - Special (Algeria)', 'Eli Yishai', 'Lawyer/Attorney (Argentina)', 'Children (Philippines)', 'Governor (Japan)', 'Xi Jinping', 'Militant (Australia)', 'Tamar Beruchashvili', 'Military (China)']"
3145,Media Personnel (Argentina),Make statement,Government (Argentina),2014-07-24,"['Enrico Letta', 'Government (Sweden)', 'Government (Africa)', 'Victor Ponta', 'Kayode Fayemi', 'Algirdas Butkevičius', 'Frank Bainimarama', 'Citizen (Nigeria)', 'Bahrain', 'Police (Ethiopia)']"
3146,Police (Canada),Investigate,Organized Crime (Brazil),2014-02-06,"['United Arab Emirates', 'Military (Bolivia)', 'Ministry (Liberia)', 'Andrej Kiska', 'Information / Communication / Transparency Ministry (Romania)', 'Philippines', 'United Party for National Development', 'Religion (India)', 'Mohamed Ibn Chambas', 'Chishimba Kambwili']"
3147,Omar Abdullah,Make statement,Farooq Abdullah,2014-07-22,"['Justice and Development Party', 'Government (United States)', 'Other Authorities / Officials (Turkey)', 'Businessperson (United Kingdom)', 'Poland', 'Foreign Affairs (Romania)', 'Bhutan', 'Irakli Alasania', 'Opposition Supporter (Pakistan)', 'Medical Personnel (Jordan)']"
3148,Citizen (India),"Defy norms, law",Head of Government (India),2014-04-03,"['Citizen (Germany)', 'Pilgrim (India)', 'Ireland', 'Government (United States)', 'Shiv Sena', 'Lawyer/Attorney (Argentina)', 'Head of Government (India)', 'Other Authorities / Officials (China)', 'Augusto Barrera', 'Lawmaker (Indonesia)']"
3149,Japan,Engage in diplomatic cooperation,China,2014-03-08,"['China', 'Ireland', 'Armed Rebel (Ukraine)', 'Nathan Cirillo', 'Gjorge Ivanov', 'Prem Tinsulanonda', 'Hamas', 'Indigenous People (Nigeria)', 'Nabih Berri', 'Kevin Rudd']"
3150,Indigenous People (India),Use unconventional violence,Citizen (India),2014-08-24,"['Citizen (India)', 'United Russia', 'Religion (India)', 'Criminal (Italy)', 'Combatant (Islamic State of Iraq and the Levant)', 'Military Personnel (Canada)', 'Xi Jinping', 'Prem Tinsulanonda', 'Dmitry Anatolyevich Medvedev', 'Business (Russia)']"
3151,Catherine Ashton,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-02-27,"['Agence France-Presse', 'Joseph Robinette Biden', 'Citizen (Venezuela)', 'Serbia', 'Angola', 'Milos Zeman', 'Governor (Papua New Guinea)', 'People Associated with the Opposition (Ukraine)', 'Member of the Judiciary (Kyrgyzstan)', 'Anandiben Patel']"
3152,Police (Malaysia),"Arrest, detain, or charge with legal action",Inter-Services Intelligence,2014-05-28,"['Ukrinform', 'Nicos Anastasiades', 'Inter-Services Intelligence', 'Kyoto University', 'Lawyer/Attorney (United Kingdom)', 'High Ranking Military Personnel (Jordan)', 'Constitutional Court (Romania)', 'Education (United States)', 'Azubuike Ihejirika', 'Congo']"
3153,Information Ministry (Zambia),Make statement,Guy Scott,2014-11-06,"['János Áder', 'Armed Rebel (Ukraine)', 'Armed Forces of the Republic of Armenia', 'Morocco', 'Environment Department/Ministry (United States)', 'Party of Regions', 'Member of the Judiciary (Iran)', 'Military (Mozambique)', 'Treasury/Finance Ministry (Thailand)', 'Northern Ireland']"
3154,Citizen (Yemen),Use unconventional violence,Militant (Yemen),2014-09-19,"['Local Media (Brazil)', 'Megawati Sukarnoputri', 'Michael D. Higgins', 'Citizen (Malaysia)', 'RIA Novosti', 'Employee (Jordan)', 'Pope Francis', 'Gabriel Torwua Suswam', 'Activist (Syria)', 'Uhuru Muigai Kenyatta']"
3155,Paolo Gentiloni,Express intent to meet or negotiate,Foreign Affairs (Italy),2014-12-22,"['Ombudsman (Georgia)', 'Protester (Paraguay)', '""Citizen (Cote d\\\'Ivoire)""', 'Akja Nuberdiyeva', 'Agence France-Presse', 'Armed Gang (Afghanistan)', 'Mexico', 'Detainee (Rwanda)', 'Al-Shabaab', 'Ministry (Russia)']"
3156,Barack Obama,Demand,North Korea,2014-04-24,"['North Korea', 'Main Opposition (Turkey)', 'Government Official (Japan)', 'Citizen (Thailand)', 'Nuri al-Maliki', 'Serbia', 'Medical Personnel (Jordan)', 'Other Authorities / Officials (Russia)', 'Foreign Affairs (Liberia)', 'Colombia']"
3157,North Korea,Make pessimistic comment,Citizen (North Korea),2014-05-29,"['Citizen (North Korea)', 'Urmas Reinsalu', 'Men (South Africa)', 'Government Official (Egypt)', 'Employee (Kenya)', 'Ng Eng Hen', 'Citizen (South Korea)', 'Majid Takht Ravanchi', 'National Iranian Tanker Company', 'Foreign Affairs (Belgium)']"
3158,Ashraf Ghani Ahmadzai,Make statement,China,2014-11-01,"['China', 'Citizen (Unidentified State Actor)', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler', 'Labor Party (United Kingdom)']"
3159,Afghanistan,Host a visit,Barack Obama,2014-05-25,"['Bank (Iran)', 'Citizen (Brazil)', 'Angela Merkel', 'Barack Obama', 'Sheikh Hamad bin Isa al Khalifah', 'Israeli Defense Forces', 'Sudan', 'Ma Ying Jeou', 'Children (Israel)', 'Guy Ryder']"
3160,Marziyeh Afkham,Make empathetic comment,Citizen (Malaysia),2014-07-21,"['Greenpeace', 'Indigenous People (Greece)', 'Citizen (Malaysia)', 'Media Personnel (Sierra Leone)', 'Lawmaker (Indonesia)', 'Member of Parliament (Australia)', 'Mohammad Javad Zarif', 'People Associated with the Opposition (Bahrain)', 'Police (Egypt)', 'Head of Government (India)']"
3161,Citizen (Tanzania),Express intent to engage in diplomatic cooperation (such as policy support),Police (Tanzania),2014-03-24,"['Defense / Security Ministry (Angola)', 'Alexander Lukashevich', 'Rodrigo Londono', 'Afghanistan', 'Government (South Africa)', 'Criminal (Tanzania)', 'Viktor Orban', 'Oommen Chandy', 'Women (Angola)', 'Rights Activist (Indonesia)']"
3162,Police (Cambodia),"Arrest, detain, or charge with legal action",Men (Cambodia),2014-10-23,"['Colombia', 'Web Site (Lithuania)', 'Police (Philippines)', 'Datuk Seri Tengku Adnan Tengku Mansor', 'Tsai Ing-wen', 'Kazakhstan', 'Armenia', 'City Mayor (Philippines)', 'Legislature (Libya)', 'Military (United Kingdom)']"
3163,Government (France),Express intent to cooperate,Information / Communication / Transparency Ministry (Egypt),2014-05-17,"['Morocco', 'Doctors Without Borders', 'Raja Zafarul Haq', 'Nigerian National Petroleum Corporation', 'Energy Department/Ministry (Iran)', 'Armed Gang (United States)', 'John Paul II', 'Wan Azizah', 'Citizen (Georgia)', 'Muslim (United Kingdom)']"
3164,Ministry (Russia),Express intent to meet or negotiate,Serbia,2014-05-16,"['Somsavat Lengsava', 'Militant (Boko Haram)', 'Congo', 'Other Authorities / Officials (Romania)', 'Citizen (Uganda)', 'Military (Argentina)', 'Other Authorities / Officials (Russia)', 'Member of Parliament (Australia)', 'Head of Government (Egypt)', 'Majid Takht Ravanchi']"
3165,Toomas Hendrik Ilves,Express intent to meet or negotiate,Jyrki Katainen,2014-05-02,"['Agence France-Presse', 'Bank (Albania)', 'Citizen (Brazil)', 'Gideon Gono', 'Andrej Kiska', 'Chaturon Chaisang', 'City Mayor (South Africa)', 'Togo', 'Lawyer/Attorney (Argentina)', 'Guy Ryder']"
3166,Member of Parliament (India),Make an appeal or request,Shivraj Patil,2014-06-20,"['Population (Angola)', 'Party Member (Jordan)', 'Business (South Korea)', 'Business (Croatia)', 'Military Personnel (Paraguay)', 'United Russia', 'Party President (Turkey)', 'UN Security Council', 'Children (Zimbabwe)', 'Police (Ethiopia)']"
3167,Chuck Hagel,Meet at a 'third' location,North Atlantic Treaty Organization,2014-03-06,"['Government (Kenya)', 'Member of Parliament (India)', 'North Atlantic Treaty Organization', 'Ombudsman (Georgia)', 'Head of Government (Nigeria)', 'Head of Government (Poland)', 'Togo', 'High Ranking Military Personnel (Nigeria)', 'Criminal (Philippines)', 'Ministry (Madagascar)']"
