,e1,relation,e2,date,predictions
173,North Korea,"Return, release person(s)",Detainee (United States),2014-11-08,"['North Korea', 'Gideon Gono', 'Christian Democratic Union', 'Adli Mansour', 'High Commission for Refugees', 'North Atlantic Treaty Organization', 'Legislature (Italy)', 'Foreign Affairs (Romania)', 'Education (United States)', 'Justice Department/Ministery (India)']"
174,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-03-27,"['Thailand', 'Combatant (Islamic State of Iraq and the Levant)', 'Citizen (Thailand)', 'Gideon Gono', 'Ireland', 'Prayuth Chan-ocha', 'Military (Thailand)', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Laos', 'Royal Thai Police']"
175,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-07-19,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
176,Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-11-24,"['Sergey Viktorovich Lavrov', 'Cabinet / Council of Ministers / Advisors (United States)', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
177,Police (Hong Kong),Use tactics of violent repression,Protester (Hong Kong),2014-11-29,"['Police (Hong Kong)', 'Prabowo Subianto', 'Other Authorities / Officials (Hong Kong)', 'Military (Hong Kong)', 'Police (Australia)', 'Population (Angola)', 'Alexander Lukashevich', 'Government (Syria)', 'Associated Press', 'Other Authorities / Officials (Egypt)']"
178,Xi Jinping,Make statement,China,2014-08-28,"['China', 'Citizen (Unidentified State Actor)', 'Xi Jinping', 'Raúl Castro', 'South Africa', 'Ivan Gasparovic', 'Medical Personnel (Jordan)', 'Party Member (Afghanistan)', 'Citizen (Yemen)', 'Emrullah Isler']"
179,Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-06-12,"['North Korea', 'Greenpeace', 'Japan', 'Thailand', 'Education Ministry (United Arab Emirates)', 'Bhutan', 'Arab Israelis', 'Special Rapporteurs of the United Nations', 'Government Official (Japan)', 'Government (Pakistan)']"
180,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2014-01-06,"['Police (Philippines)', 'Citizen (Turkey)', 'China', 'Philippines', 'Other Authorities / Officials (China)', 'Other Authorities / Officials (Philippines)', 'Lawyer/Attorney (Philippines)', 'Military Advisor (Philippines)', 'Viktor Orban', 'Citizen (South Korea)']"
181,John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-01-20,"['Sergey Viktorovich Lavrov', 'John Kerry', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
182,François Hollande,Meet at a 'third' location,Barack Obama,2014-05-18,"['Head of Government (Brazil)', 'François Hollande', 'Abdelilah Benkirane', 'Barack Obama', 'Defense / Security Ministry (Russia)', 'Web Site (Lithuania)', 'John Momis', 'China', 'National Security and Intelligence Services', 'Prem Tinsulanonda']"
183,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-12-15,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
184,Police (Ukraine),Use conventional military force,Protester (Ukraine),2014-02-20,"['Military (El Salvador)', 'Jamil Mahuad', 'Police (Ukraine)', 'Zhang Dejiang', 'Defense / Security Ministry (Ukraine)', 'Angola', 'Pervez Musharraf', 'Protester (Ukraine)', 'Member of Parliament (Sri Lanka)', 'Citizen (Venezuela)']"
185,Police (Canada),Accuse,Chief of Staff (Canada),2014-06-14,"['Police (Canada)', 'Lawmaker (Indonesia)', 'Media (Swaziland)', 'Edgars Rinkevics', 'Treasury/Finance Ministry (Thailand)', 'Archbishop (Brazil)', 'Chief Court Judge (Angola)', 'Archbishop (Turkey)', 'European Central Bank', 'Government (Belarus)']"
186,Other Authorities / Officials (United States),"Arrest, detain, or charge with legal action",William Chandler,2014-03-10,"['Other Authorities / Officials (United States)', 'Independent Corrupt Practices Commission', 'Main Opposition (Turkey)', 'Environment Department/Ministry (Jordan)', 'Gideon Gono', 'Governor (India)', 'Robert Menendez', 'Party Member (Iraq)', 'Student (Bangladesh)', 'All India Sikh Students Federation']"
187,Protester (Hong Kong),"Protest violently, riot",Police (Hong Kong),2014-11-18,"['Organisation of Islamic Cooperation', 'Protester (Hong Kong)', 'Murtala Nyako', 'The Standard', 'Progressive Party (Nigeria)', 'Sergey Kuzhugetovich Shoygu', 'Massoud Barzani', 'Abu Sayyaf', 'Foreign Affairs (Russia)', 'Tarun Gogoi']"
188,Police (Australia),Make an appeal or request,Citizen (Australia),2014-07-25,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
189,Military Personnel (Philippines),Make statement,Ustadz Habier Malik,2014-01-07,"['Military Personnel (Philippines)', 'People Associated with the Opposition (Argentina)', 'Criminal (Jamaica)', 'Chief of Staff (Tunisia)', 'Tony Momoh', 'Member of Parliament (Australia)', 'Labor Party (Bosnia and Herzegovina)', 'Fishermen (Mexico)', 'Radimir Čačić', 'Justice and Development Party']"
190,Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-10-01,"['Government (Kenya)', 'Citizen (Kenya)', 'Ma Ying Jeou', 'Mouloud Hamrouche', 'National Anti-Corruption Commission (Thailand)', 'South Korea', 'Radoslaw Sikorski', 'Al Jazeera', 'Doctors Without Borders', 'Police (Kenya)']"
191,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-11,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
192,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-02-22,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
193,Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-03-17,"['Foreign Affairs (United States)', 'Protester (Ukraine)', 'Detainee (Lebanon)', 'Democratic Forces for the Liberation of Rwanda', 'Citizen (Turkey)', 'Djoomart Otorbaev', 'Legislature (Argentina)', 'Party Member (Taiwan)', 'Michael Sata', 'Tajikistan']"
194,China,Express intent to meet or negotiate,South Korea,2014-09-06,"['China', 'North Korea', 'Iran', 'Xi Jinping', 'Head of Government (Qatar)', 'Citizen (South Korea)', 'Fumio Kishida', 'Cabinet / Council of Ministers / Advisors (United States)', 'John Kerry', 'Japan']"
195,Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-03-31,"['Citizen (Kenya)', 'City Mayor (South Africa)', 'Police (Kenya)', 'William ole Ntimama', 'Foreign Affairs (Hungary)', 'Macky Sall', 'France', 'Government (Nigeria)', 'Defense / Security Ministry (Angola)', 'Government (South Africa)']"
196,China,Express intent to cooperate,Japan,2014-09-03,"['Japan', 'China', 'Malaysia', 'Armed Rebel (Ukraine)', 'Governor (Democratic Republic of Congo)', 'Party Member (Afghanistan)', 'Election Commission (India)', 'Indigenous People (Malawi)', 'Congo', 'Head of Government (Brazil)']"
197,Japan,Consult,South Korea,2014-07-27,"['South Korea', 'Japan', 'North Korea', 'Iran', 'China', 'Xi Jinping', 'Kim Jong-Un', 'Canada', 'Foreign Affairs (United States)', 'Cho Tai-young']"
198,Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-06-22,"['John Kerry', 'Sergey Viktorovich Lavrov', 'Inter-Services Intelligence', 'Special Rapporteurs of the United Nations', 'Catherine Ashton', 'Head of Government (Ukraine)', 'Ashraf Ghani Ahmadzai', 'Fumio Kishida', 'Massoud Barzani', 'Middle East']"
199,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-10-19,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
200,South Korea,Make a visit,North Korea,2014-07-02,"['North Korea', 'South Korea', 'Criminal (Guatemala)', 'Milos Zeman', 'Interfax', 'China', 'Xi Jinping', 'Kim Jong-Un', 'John Kerry', 'Japan']"
201,Catherine Ashton,Consult,Mohammad Javad Zarif,2014-02-01,"['Mohammad Javad Zarif', 'National Council for Peace and Order of Thailand', 'Catherine Ashton', 'Head of Government (India)', 'Morgan Tsvangirai', 'Armenia', 'Armed Gang (Thailand)', 'Cristina Fernández de Kirchner', 'Military (Central African Republic)', 'Sudan']"
202,Arseniy Yatsenyuk,Make statement,Ukrinform,2014-06-04,"['Muhammadu Buhari', 'Arseniy Yatsenyuk', 'Military (United Kingdom)', 'Abu Sayyaf', 'Manuel Nunes Júnior', 'Military Personnel (India)', 'Ahmad Fatfat', 'Legislature (Serbia)', 'Julie Bishop', 'Media (India)']"
203,Ashraf Ghani Ahmadzai,Meet at a 'third' location,Abdullah Abdullah,2014-12-01,"['Ashraf Ghani Ahmadzai', 'Abdullah Abdullah', 'Jens Stoltenberg', 'János Áder', 'Citizen (Brazil)', 'Djibouti', 'Government (Nigeria)', 'Opposition Supporter (India)', 'Interfax', 'Legislature (Argentina)']"
204,Court Judge (India),Ease administrative sanctions,Citizen (India),2014-01-28,"['Court Judge (India)', 'Citizen (India)', 'Citizen (Turkey)', 'Ministry (Czech Republic)', 'Head of Government (Ukraine)', 'Raheel Sharif', 'Evangelos Venizelos', 'South Africa', 'Election Commission (India)', 'Royal Administration (Spain)']"
205,Police (South Korea),Make statement,Criminal (South Korea),2014-04-17,"['Police (South Korea)', 'Canada', 'Gurbanguly Berdymukhammedov', 'Military (Middle East)', 'Alexander Lukashevich', 'Government (South Africa)', 'United Arab Emirates', 'Student (Venezuela)', 'Inter-Services Intelligence', 'Austria Press Agency']"
206,Ashraf Ghani Ahmadzai,Sign formal agreement,Abdullah Abdullah,2014-09-15,"['Lawyer/Attorney (Argentina)', 'Ashraf Ghani Ahmadzai', 'Treasury/Finance Ministry (Czech Republic)', 'Julie Bishop', 'Citizen (Nigeria)', 'Bhutan', 'Carrie Lam', 'Megawati Sukarnoputri', 'Legislature (South Africa)', 'Member of Legislative (Govt) (Lebanon)']"
207,North Korea,Consult,Japan,2014-03-21,"['Japan', 'North Korea', 'Mbhazima Samuel Shilowa', 'National Council for Peace and Order of Thailand', 'South Korea', 'Iran', 'China', 'Qatar', 'Kim Jong-Un', 'Canada']"
208,Citizen (India),Demonstrate or rally,Military Personnel (India),2014-04-24,"['Citizen (India)', 'Frank Mba', 'Representatives (Slovakia)', 'Military (Argentina)', 'Government (United States)', 'The Standard', 'Head of Government (Germany)', 'Paul Kagame', 'Head of Government (South Korea)', 'Legislature (Argentina)']"
209,North Korea,Accuse,South Korea,2014-03-31,"['Party of Regions', 'Sergey Kuzhugetovich Shoygu', 'North Korea', 'South Korea', 'National Anti-Corruption Commission (Thailand)', 'Dmitry Anatolyevich Medvedev', 'Sadayuki Sakakibara', 'Suleiman Abba', 'International Monetary Fund', 'Employee (Jordan)']"
210,Lawyer/Attorney (Luxembourg),Make statement,Police (Luxembourg),2014-08-03,"['Lawyer/Attorney (Luxembourg)', 'Militant (Malaysia)', 'Military Personnel (Somalia)', 'Tamar Beruchashvili', 'Uhuru Muigai Kenyatta', 'Ministry (Zimbabwe)', 'Government (Kenya)', 'Lawyer/Attorney (Kenya)', 'Defense / Security Ministry (Nigeria)', 'Laos']"
211,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-27,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
212,John Kerry,Make statement,Middle East,2014-11-01,"['John Kerry', 'National Council for Peace and Order of Thailand', 'Middle East', 'Media (India)', 'European Central Bank', 'Josh Earnest', 'France', 'Government (Sudan)', '""Uganda People\\\'s Defence Force""', 'Businessperson (Australia)']"
213,Barack Obama,Make a visit,Japan,2014-04-09,"['Japan', 'Barack Obama', 'Fumio Kishida', 'Mohamed Ould Abdel Aziz', 'Police (Burundi)', 'Citizen (India)', 'Governor (India)', 'Main Opposition (Turkey)', 'South Korea', 'Iran']"
214,Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-07-26,"['Thailand', 'Combatant (Islamic State of Iraq and the Levant)', 'Citizen (Thailand)', 'Gideon Gono', 'Ireland', 'Prayuth Chan-ocha', 'Military (Thailand)', 'Cabinet / Council of Ministers / Advisors (Thailand)', 'Laos', 'Royal Thai Police']"
215,Police (Australia),Make an appeal or request,Citizen (Australia),2014-02-18,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
216,Cabinet / Council of Ministers / Advisors (United States),Consult,Sergey Viktorovich Lavrov,2014-11-08,"['Sergey Viktorovich Lavrov', 'Cabinet / Council of Ministers / Advisors (United States)', 'Indigenous People (Syria)', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
217,Citizen (Nigeria),Make an appeal or request,Public Courts (Nigeria),2014-12-20,"['Citizen (India)', 'Hassan Joho', 'Citizen (Nigeria)', 'Party Member (United Kingdom)', 'Civic Group (India)', '""Awami (People\\\'s) League""', 'Government (Nigeria)', 'Ministry (Czech Republic)', 'High Ranking Military Personnel (Jordan)', 'Viktor Orban']"
218,Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-08-14,"['Police (Australia)', 'Citizen (Australia)', 'China', 'Police (Philippines)', 'Malaysia', 'Military (Lebanon)', 'New Zealand', 'Thailand', 'South Africa', 'Philippines']"
219,South Korea,"Reject plan, agreement to settle dispute",North Korea,2014-07-01,"['South Korea', 'Japan', 'Foreign Affairs (Italy)', 'Special Rapporteurs of the United Nations', 'Fumio Kishida', 'North Korea', 'Guinea', 'Cabinet / Council of Ministers / Advisors (Senegal)', 'Inter-Services Intelligence', 'Ministry (Liberia)']"
220,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-08-14,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
221,Police (Australia),Investigate,Citizen (Australia),2014-12-08,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
222,South Korea,Demand,North Korea,2014-06-19,"['South Korea', 'North Korea', 'China', 'Fumio Kishida', 'John Kerry', 'Japan', 'Barack Obama', 'Myanmar', 'Foreign Affairs (South Korea)', 'Head of Government (South Korea)']"
223,Police (Australia),Investigate,Citizen (Australia),2014-09-24,"['Police (Australia)', 'Member of Parliament (Australia)', 'Women (Australia)', 'Citizen (Australia)', 'Police (Indonesia)', 'Lawyer/Attorney (Australia)', 'Police (United States)', 'Fire Brigade (Australia)', 'People Associated with the Opposition (Australia)', 'Businessperson (Australia)']"
224,South Korea,Make statement,Japan,2014-06-20,"['Gjorge Ivanov', 'South Korea', 'Japan', 'Other Authorities / Officials (Russia)', 'Kyoto University', 'Lawyer/Attorney (Argentina)', 'North Korea', 'China', 'Xi Jinping', 'Fumio Kishida']"
225,Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-04-17,"['Citizen (Indonesia)', 'Police (Indonesia)', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Kuwait', 'Malaysia', 'Police (Malaysia)', 'Member of the Judiciary (United States)', 'Aceh', 'Lawyer/Attorney (Indonesia)', 'Interfax']"
226,John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-12-30,"['Sergey Viktorovich Lavrov', 'John Kerry', 'Congo', 'Iraq', 'Media (India)', 'Military Personnel (Paraguay)', 'Citizen (Brazil)', 'Government (Sweden)', 'Kisii', 'Gurbanguly Berdymukhammedov']"
227,Protester (Hong Kong),Demonstrate or rally,Police (Hong Kong),2014-09-29,"['Malawi', 'Protester (Hong Kong)', 'Miguel Ángel Osorio Chong', 'Colombia', 'African Union', 'Macky Sall', 'Congress (Argentina)', 'Foreign Affairs (Russia)', 'Women (Angola)', 'Raúl Castro']"
228,South Korea,Demand,North Korea,2014-05-30,"['South Korea', 'North Korea', 'China', 'Fumio Kishida', 'John Kerry', 'Japan', 'Barack Obama', 'Myanmar', 'Foreign Affairs (South Korea)', 'Head of Government (South Korea)']"
229,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-06-18,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
230,Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-05-03,"['John Kerry', 'Sergey Viktorovich Lavrov', 'Inter-Services Intelligence', 'Special Rapporteurs of the United Nations', 'Catherine Ashton', 'Head of Government (Ukraine)', 'Ashraf Ghani Ahmadzai', 'Fumio Kishida', 'Massoud Barzani', 'Middle East']"
231,Police (Australia),Make an appeal or request,Citizen (Australia),2014-02-03,"['Citizen (Australia)', 'Police (Australia)', '""Citizen (Cote d\\\'Ivoire)""', 'Men (Argentina)', 'Opposition Supporter (Pakistan)', 'Medical Personnel (India)', 'Amnesty International', 'Prayuth Chan-ocha', 'Citizen (United Kingdom)', 'Julie Bishop']"
232,Kuwait,Use tactics of violent repression,Activist (Kuwait),2014-09-09,"['Kuwait', 'Ministry (La Francophonie)', 'Congress (United States)', 'Media Personnel (United States)', 'Terrorist (Jabhat al-Nusra)', 'Children (Ukraine)', 'Alexis Tsipras', 'Indigenous People (Tanzania)', 'Citizen (Thailand)', 'Assemblies (Nigeria)']"
233,Abu Sayyaf,Make statement,Criminal (Southeast Asia),2014-08-05,"['Abu Sayyaf', 'Member of the Judiciary (Bangladesh)', 'Military Personnel - Special (India)', 'Indigenous People (Greece)', 'Serbia', 'Education (Costa Rica)', 'Men (Mexico)', 'Foreign Affairs (Russia)', 'Main Opposition (Turkey)', 'Majid Takht Ravanchi']"
234,Government (Nigeria),Threaten,Citizen (Nigeria),2014-02-20,"['Citizen (Nigeria)', 'Government (Nigeria)', 'Nicos Anastasiades', 'Citizen (India)', 'Boko Haram', 'Ministry (Nigeria)', 'Democratic Party (Nigeria)', 'Labor Union (Nigeria)', 'Military Personnel (Nigeria)', 'Congress (Nigeria)']"
235,Tzipi Livni,Consult,Martin Indyk,2014-04-06,"['Tzipi Livni', 'Colombia', 'Ibrahim Hassan Saif', 'Kit Siang', 'Police (Tanzania)', 'Randolph Frederich Rodrigues Alves', 'Businessperson (United Kingdom)', 'Treasury/Finance Ministry (Syria)', 'Military (Vietnam)', 'Presidential Press Service (Nigeria)']"
236,Catherine Ashton,Host a visit,Mohammad Javad Zarif,2014-09-02,"['Carrie Lam', 'Catherine Ashton', 'Citizen (Chechnya)', 'Toomas Hendrik Ilves', 'Other Authorities / Officials (Nigeria)', 'Government (Sweden)', 'Panfilio Lacson', 'Afghanistan', 'Other Authorities / Officials (Guinea)', 'Military (El Salvador)']"
237,Citizen (Venezuela),Accuse,Government (Venezuela),2014-08-19,"['Prayuth Chan-ocha', 'Citizen (Venezuela)', 'Clergy (Nigeria)', 'National Unity Party (Somalia)', 'Mouloud Hamrouche', 'Majid Takht Ravanchi', 'Interfax', 'Cabinet / Council of Ministers / Advisors (United States)', 'Robert Hughes', 'Member of the Judiciary (United States)']"
238,Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-07-18,"['Citizen (Nigeria)', 'Fumio Kishida', 'Government (Nigeria)', 'Afghanistan', 'Lulzim Basha', 'Nigerian Navy', 'Government (Sweden)', 'Citizen (Turkey)', 'Carrie Lam', 'Head of Government (Pakistan)']"
239,Iran,Engage in negotiation,Kofi Annan,2014-01-31,"['Kofi Annan', 'International Government Organizations', 'Iran', 'Simon Khaya Moyo', 'Paul Kagame', 'Gazprom Neft', 'European Central Bank', 'Legislature (Italy)', 'Other Authorities / Officials (Nigeria)', 'Indigenous People (Nigeria)']"
240,Japan,Reduce relations,South Korea,2014-06-23,"['Japan', 'South Africa', 'Farm Worker (Nigeria)', 'Giorgio Napolitano', 'Employee (India)', 'Kuwait', 'Malaysia', 'Mohammad Javad Zarif', 'Media Personnel (Maldives)', 'Anandiben Patel']"
241,Xi Jinping,Sign formal agreement,Barack Obama,2014-12-01,"['Barack Obama', 'Xi Jinping', 'Party of Regions', 'Ireland', 'François Hollande', 'Abdul Aziz', 'Head of Government (Greece)', 'Head of Government (Mexico)', 'Mauritania', 'Massoud Barzani']"
242,Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-05-26,"['Citizen (Nigeria)', 'Labor Party (New Zealand)', 'Secretariat (Nigeria)', 'Government (Nigeria)', 'Majid Takht Ravanchi', 'Military (China)', 'The Hague', 'Guy Ryder', 'Chief of Staff (Tunisia)', 'Media (Africa)']"
243,Evangelos Venizelos,Criticize or denounce,Alexis Tsipras,2014-09-14,"['Evangelos Venizelos', 'Antonis Samaras', 'Citizen (Greece)', 'Panhellenic Socialist Movement', 'New Democracy', 'Simos Kedikoglou', 'Dimitris Kourkoulas', 'Alleged Militants (India)', 'Citizen (Georgia)', 'Military Personnel (Kenya)']"
244,Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2014-07-10,"['Police (Philippines)', 'Citizen (Turkey)', 'China', 'Philippines', 'Other Authorities / Officials (China)', 'Other Authorities / Officials (Philippines)', 'Lawyer/Attorney (Philippines)', 'Military Advisor (Philippines)', 'Viktor Orban', 'Citizen (South Korea)']"
245,China,Coerce,Liu Han,2014-05-23,"['China', 'Japan', 'Independent Corrupt Practices Commission', 'Arif Alvi', 'Legislature (Argentina)', 'Activist (Syria)', '""Citizen (Cote d\\\'Ivoire)""', 'Milos Zeman', 'Interfax', 'Michael Brown']"
246,North Korea,Demand,South Korea,2014-01-21,"['South Korea', 'North Korea', 'Iran', 'Xi Jinping', 'Samuel J. Locklear', 'Ryoo Kihl-jae', 'Liu Jianchao', 'Appeals Court (South Korea)', 'Fumio Kishida', 'Military Personnel (Kenya)']"
247,Japan,Express intent to cooperate,China,2014-08-09,"['China', 'Foreign Affairs (Ukraine)', 'Japan', 'Rafael Correa', 'Joseph Robinette Biden', 'Qatar', 'Pakistan Tehreek-e-Insaf', 'Mikhail Margelov', 'Ministry (Venezuela)', 'Military (Argentina)']"
248,John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-03-05,"['John Kerry', 'National Anti-Corruption Commission (Thailand)', 'Abdel Fattah Al-Sisi', 'Jose Mario Vaz', 'Colombia', 'Chief of Staff (Tunisia)', 'Citizen (Namibia)', 'Fumio Kishida', 'Cabinet / Council of Ministers / Advisors (United States)', 'Federica Mogherini']"
249,John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-08-09,"['John Kerry', 'National Anti-Corruption Commission (Thailand)', 'Abdel Fattah Al-Sisi', 'Jose Mario Vaz', 'Colombia', 'Chief of Staff (Tunisia)', 'Citizen (Namibia)', 'Fumio Kishida', 'Cabinet / Council of Ministers / Advisors (United States)', 'Federica Mogherini']"
250,Augustine Alegeh,Make statement,Okey Wali,2014-10-24,"['Augustine Alegeh', 'Nigerian Bar Association', 'Victor Ponta', 'Citizen (Tanzania)', 'Business (Uruguay)', 'Citizen (United Kingdom)', 'Austria Press Agency', 'Michael Sata', 'Domestic Affairs (Kenya)', 'Canada']"
251,John Kerry,Consult,Sergey Viktorovich Lavrov,2014-03-16,"['Sergey Viktorovich Lavrov', 'Indigenous People (Syria)', 'John Kerry', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
252,China,Express intent to meet or negotiate,Xi Jinping,2014-06-28,"['Government (France)', 'Patience Jonathan', 'China', '""Ministry of Tourism (Cote d\\\'Ivoire)""', 'Media (Africa)', 'Lawmaker (United Kingdom)', 'Police (Namibia)', 'Militant (Yemen)', 'Xi Jinping', 'Arab Israelis']"
253,Government (Nigeria),Threaten,Citizen (Nigeria),2014-08-04,"['Citizen (Nigeria)', 'Government (Nigeria)', 'Nicos Anastasiades', 'Citizen (India)', 'Boko Haram', 'Ministry (Nigeria)', 'Democratic Party (Nigeria)', 'Labor Union (Nigeria)', 'Military Personnel (Nigeria)', 'Congress (Nigeria)']"
254,Islam Karimov,Praise or endorse,George Krol,2014-12-15,"['Islam Karimov', 'Trade Union Congress', 'Philippines', 'Government (Kenya)', 'National Council for Peace and Order of Thailand', 'Indigenous People (Tanzania)', 'National Security and Intelligence Services', 'Military Personnel (Uganda)', 'Student (Bulgaria)', 'Tajikistan']"
255,John Kerry,Consult,Sergey Viktorovich Lavrov,2014-09-25,"['Sergey Viktorovich Lavrov', 'Indigenous People (Syria)', 'John Kerry', 'Medical Personnel (Jordan)', 'Citizen (United Kingdom)', 'Election Commission (India)', 'Alexander Stubb', 'Ministry (Bosnia and Herzegovina)', 'Head of Government (Qatar)', 'Party Member (Afghanistan)']"
256,Boko Haram,Use conventional military force,Citizen (Nigeria),2014-05-15,"['Citizen (Nigeria)', 'Boko Haram', 'Labor Union (Nigeria)', 'Citizen (Botswana)', 'Lawyer/Attorney (Argentina)', 'Clergy (Nigeria)', 'Shura Council', 'Military Personnel (Afghanistan)', 'Gurbanguly Berdymukhammedov', 'Head of Government (India)']"
257,Military Personnel - Special (Afghanistan),Use conventional military force,Militant (Taliban),2014-12-12,"['Military (Russia)', 'Combatant (Iraqi Kurds)', 'Military Personnel - Special (Afghanistan)', 'Dimitrios Avramopoulos', 'Barack Obama', 'Philippines', 'Afghanistan', 'Government (Pakistan)', 'Military (United Kingdom)', 'Afghan National Army']"
258,South Korea,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-09-19,"['South Korea', 'Japan', 'Hemant Soren', 'Hamas', 'Kim Jong-Un', 'Togo', 'Rauf Aregbesola', 'Foreign Affairs (United States)', 'Rights Activist (Belarus)', 'Kazakhstan']"
